t,x,y,z,u,v,w,p,q,r,phi,theta,psi,del_lat,del_lon,del_yaw,del_thrust
8.9,0.00036213,0.00049784,-0.00011975,-0.00032405,-0.00053013,4.1313e-05,-5.4258e-05,1.8628e-05,-0.0021944,4.4641e-05,-1.9118e-05,0.0021581,0,0,0,0
9,0.0003311,0.00044753,-0.00011555,-0.0002969,-0.00047697,4.2606e-05,-4.8895e-05,1.7204e-05,-0.0020482,4.0204e-05,-1.7587e-05,0.0020155,0,0,0,0
9.1,0.00030267,0.00040227,-0.00011124,-0.00027195,-0.0004291,4.3403e-05,-4.4059e-05,1.588e-05,-0.0019119,3.6205e-05,-1.6172e-05,0.0018823,0,0,0,0
9.2,0.00027664,0.00036155,-0.00010688,-0.00024905,-0.000386,4.3779e-05,-3.9699e-05,1.4651e-05,-0.0017847,3.2602e-05,-1.4867e-05,0.0017581,0,0,0,0
9.3,0.0002528,0.00032493,-0.0001025,-0.00022803,-0.00034721,4.3799e-05,-3.5768e-05,1.3511e-05,-0.0016661,2.9355e-05,-1.3662e-05,0.001642,0,0,0,0
9.4,0.00023098,0.00029198,-9.8132e-05,-0.00020873,-0.00031228,4.3519e-05,-3.2224e-05,1.2453e-05,-0.0015555,2.6429e-05,-1.255e-05,0.0015337,0,0,0,0
9.5,0.000211,0.00026235,-9.3805e-05,-0.00019103,-0.00028085,4.299e-05,-2.9029e-05,1.1474e-05,-0.0014523,2.3793e-05,-1.1525e-05,0.0014326,0,0,0,0
9.6,0.00019272,0.00023571,-8.9541e-05,-0.00017479,-0.00025255,4.2256e-05,-2.6149e-05,1.0567e-05,-0.001356,2.1419e-05,-1.0581e-05,0.0013382,0,0,0,0
9.7,0.000176,0.00021175,-8.5359e-05,-0.0001599,-0.00022709,4.1354e-05,-2.3553e-05,9.7275e-06,-0.0012661,1.928e-05,-9.7113e-06,0.00125,0,0,0,0
9.8,0.0001607,0.0001902,-8.1274e-05,-0.00014625,-0.00020418,4.0318e-05,-2.1213e-05,8.9515e-06,-0.0011823,1.7353e-05,-8.9105e-06,0.0011677,0,0,0,0
9.9,0.00014671,0.00017084,-7.7299e-05,-0.00013374,-0.00018356,3.9176e-05,-1.9105e-05,8.2342e-06,-0.001104,1.5617e-05,-8.1734e-06,0.0010909,0,0,0,0
10,0.00013392,0.00015342,-7.3442e-05,-0.00012227,-0.00016501,3.7954e-05,-1.7204e-05,7.5717e-06,-0.001031,1.4054e-05,-7.4953e-06,0.0010191,0,0,0,0
